station_kor,degree,betweenness,closeness,eigenvector,demand_centrality,utilization_centrality,composite_centrality,hub_type,hub_type_eng,latitude,longitude,station_eng
가야,0.019230769230769232,0.0,0.000760579737278207,0.038663584555292424,0.0,0.0,0.003998269793609488,말단역,Terminal,35.15585,129.0427,Gaya
의왕,0.07692307692307693,0.0392156862745098,0.001096038243303628,0.16177741196881712,0.048981900452488694,0.04636926254573313,0.04206309905137566,말단역,Terminal,37.3211,126.94838,Uiwang
가천,0.038461538461538464,0.0,0.0014810342175867117,0.05026339199993025,0.010935143288084466,0.002637653740594917,0.011269057522250376,말단역,Terminal,35.85361,128.69306,Gacheon
제천조차장,0.3269230769230769,0.5130090497737557,0.002085606109221588,0.24560334630121589,0.35833333333333334,0.37510573367473815,0.3272044515385864,주요 허브,Major Hub,37.12769,128.1785,JecheonYard
간치,0.038461538461538464,0.0,0.001372879297508224,0.04719798168872269,0.0,0.0,0.007966883551809337,말단역,Terminal,36.20982,126.62076,Ganchi
광양,0.057692307692307696,0.0392156862745098,0.0008041606032441694,0.022735834373179283,0.0392156862745098,0.038461538461538464,0.03522870542381626,말단역,Terminal,34.95611,127.58778,Gwangyang
신례원,0.019230769230769232,0.0,0.000659421484459211,0.0036854298524962056,0.0,0.0,0.003978038143045689,말단역,Terminal,36.72714,126.84972,Sillyewon
천안,0.038461538461538464,0.0,0.0010355574585030217,0.061792961721595645,0.07390648567119155,0.03695324283559578,0.030071364885365763,말단역,Terminal,36.81012,127.14683,Cheonan
광운대,0.057692307692307696,0.0,0.0016531658125309968,0.049694164678749674,0.0,0.0040290947530766535,0.011869094700967739,말단역,Terminal,37.62369,127.06191,Gwangwoondae
도담,0.15384615384615385,0.06146304675716441,0.0016715258781136184,0.16848155848407753,0.05486425339366516,0.06842010846535737,0.06600172599010236,중간 허브,Intermediate Hub,37.02436,128.3265,Dodam
입석리,0.11538461538461539,0.0,0.00163024735868577,0.14628663326229036,0.006033182503770739,0.025261856879503945,0.025212927299791455,말단역,Terminal,37.19686,128.29764,Ipseokri
괴동,0.17307692307692307,0.16591251885369532,0.0017311463184843147,0.31651398829511407,0.21172699849170437,0.157318207601013,0.14825346908270137,중간 허브,Intermediate Hub,35.99667,129.375,Goedong
순천,0.038461538461538464,0.04600301659125189,0.0014062377461254094,0.08793668380066387,0.09294871794871795,0.012870789341377578,0.04965907560352373,말단역,Terminal,34.94637,127.50221,Suncheon
오봉,0.23076923076923078,0.18250377073906487,0.0018748400076435787,0.5045202915484285,0.1754524886877828,0.337750497365882,0.15391569198342916,주요 허브,Major Hub,37.33611,126.96111,Obong
제천,0.019230769230769232,0.0,0.001206239039462574,0.04725163033226265,0.0,0.0,0.004087401654046361,말단역,Terminal,37.12722,128.20617,Jecheon
군산,0.038461538461538464,0.00904977375565611,0.0012502073661256315,0.03877225328600193,0.007315233785822021,0.0022401617989853285,0.012851851427976258,말단역,Terminal,35.9977,126.76087,Gunsan
태금,0.07692307692307693,0.013574660633484163,0.0012651083127347745,0.21950264441378461,0.014479638009049776,0.0402323439088145,0.02405392663992252,말단역,Terminal,34.93056,127.71528,Taegum
나주,0.019230769230769232,0.0,0.0008892902095988618,0.005469685213134105,0.0,0.0,0.004024011888073619,말단역,Terminal,35.01426,126.71699,Naju
흥국사,0.038461538461538464,0.038461538461538464,0.0012010347376201036,0.031553145087487744,0.038461538461538464,0.038461538461538464,0.031009437716754792,말단역,Terminal,34.81667,127.67611,Heungguksa
대전조차장,0.07692307692307693,0.0,0.0016280882799560414,0.11899769213333493,0.0248868778280543,0.009013860908657289,0.023176296389022886,말단역,Terminal,36.37111,127.4225,DaejeonYard
동해,0.19230769230769232,0.1847662141779789,0.0018219531337593904,0.36300615081567406,0.38208898944193065,0.23120733590190606,0.2088824901742632,중간 허브,Intermediate Hub,37.49798,129.12276,Donghae
덕소,0.057692307692307696,0.04524886877828054,0.001701442627027416,0.04398214891207857,0.0,0.0040290947530766535,0.025453410697351183,말단역,Terminal,37.58639,127.20944,Deokso
무릉,0.019230769230769232,0.0,0.0014582778299704138,0.008753709535482128,0.0,0.0,0.004137809412147929,말단역,Terminal,36.51917,128.6875,Mureung
수색,0.07692307692307693,0.0,0.0013932166425086475,0.18144812070624097,0.010897435897435897,0.01767079597961951,0.01893248948234788,말단역,Terminal,37.58176,126.89395,Susaek
도안,0.019230769230769232,0.0,0.0012735172096258306,0.050957698032015296,0.0,0.0,0.004100857288079012,말단역,Terminal,36.81333,127.61444,Doan
동산,0.057692307692307696,0.14102564102564102,0.0016019272416969343,0.04836665275717842,0.1081447963800905,0.08422772761008056,0.08660997820852037,중간 허브,Intermediate Hub,35.875,127.08778,Dongsan
신광양항,0.07692307692307693,0.10784313725490197,0.001520458944684534,0.12857760151815834,0.08427601809954752,0.04501020493667554,0.07332445377988714,중간 허브,Intermediate Hub,34.89778,127.64722,ShingwangyangPort
부산신항,0.17307692307692307,0.277526395173454,0.0015046601059627942,0.2946932634000966,0.3433257918552036,0.2951590892767364,0.22117197274517447,중간 허브,Intermediate Hub,35.11429,128.84629,BusanNewPort
부산진,0.09615384615384616,0.07013574660633484,0.0013488695435632985,0.2362550488291851,0.0392156862745098,0.06733462615815558,0.05230597300373528,중간 허브,Intermediate Hub,35.12873,129.04991,Busanjin
석포,0.019230769230769232,0.0,0.0016173378618793465,0.014970145313969637,0.0,0.0,0.004169621418529715,말단역,Terminal,37.04596,129.06029,Seokpo
음성,0.019230769230769232,0.0,0.0013008130081300815,0.047405460160903856,0.0,0.0,0.004106316447779862,말단역,Terminal,36.92603,127.72612,Eumseong
마산,0.019230769230769232,0.0,0.0012862754410440603,0.009204215963541503,0.0,0.0,0.004103408934362659,말단역,Terminal,35.2359,128.57728,Masan
영주,0.09615384615384616,0.08597285067873303,0.0019377461776093423,0.059294040572770684,0.2018476621417798,0.058411115028762096,0.10596447231244494,중간 허브,Intermediate Hub,36.81094,128.62575,Yeongju
목포,0.019230769230769232,0.0,0.0010752110101607442,0.007663124081877934,0.0,0.0,0.0040611960481859955,말단역,Terminal,34.8,126.4,Mokpo
황등,0.057692307692307696,0.07918552036199096,0.0013540855625834912,0.06736225626325928,0.038461538461538464,0.04882119514472455,0.04710339629803706,중간 허브,Intermediate Hub,35.99972,126.94335,Hwangdeung
문수,0.019230769230769232,0.0,0.0009930941758846176,0.037265059200216506,0.0,0.0,0.00404477268133077,말단역,Terminal,36.76889,128.63,Munsu
부강화물,0.038461538461538464,0.0,0.001081249675105266,0.09231544888416175,0.0,0.0010558069381598793,0.007908557627328746,말단역,Terminal,36.54419,127.349,BugangCargo
삽교,0.038461538461538464,0.07390648567119155,0.0009964511010784663,0.06834778366617895,0.0,0.03695324283559578,0.030063543613880854,중간 허브,Intermediate Hub,36.67028,126.75167,Sapgyo
약목,0.038461538461538464,0.025641025641025644,0.0012900056809865565,0.045122359547992534,0.02733785822021116,0.003632478632478633,0.023843973986876044,말단역,Terminal,36.03722,128.36417,Yakmok
석항,0.019230769230769232,0.0,0.0011401458509653966,0.05628530136730312,0.0,0.0,0.004074183016346926,말단역,Terminal,37.19722,128.48528,Seokhang
신동,0.019230769230769232,0.0,0.0013925674390952594,0.03480584227626294,0.0,0.0,0.004124667333972898,말단역,Terminal,35.95556,128.32861,Shindong
쌍룡,0.057692307692307696,0.038461538461538464,0.0015636182125438262,0.0717545103141831,0.038461538461538464,0.043534080298786186,0.03492810825789339,말단역,Terminal,37.17439,127.34,Ssangryong
청주,0.038461538461538464,0.042232277526395176,0.001731740132411515,0.020898906787171392,0.0,0.010265170559288205,0.020708338976708547,말단역,Terminal,36.64671,127.24399,Cheongju
팔당,0.019230769230769232,0.0,0.0012872497908219091,0.005851234817132184,0.0,0.0,0.004103603804318228,말단역,Terminal,37.53328,127.24454,Paldang
옥계,0.038461538461538464,0.0,0.0015221457571650623,0.1420746692534968,0.03167420814479638,0.0,0.017498999287179618,말단역,Terminal,37.61675,129.05054,Okgye
태화강,0.019230769230769232,0.0,0.0010634903754121027,0.12192848118668136,0.0,0.0,0.0040588519212362666,말단역,Terminal,35.53917,129.35417,Taehwagang
온산,0.07692307692307693,0.006033182503770739,0.0013829860797131895,0.1098298632092561,0.020927601809954753,0.014101747925277337,0.023749447894675674,말단역,Terminal,35.42133,129.35103,Onsan
철암,0.09615384615384616,0.038461538461538464,0.001739415489494934,0.05087349283029959,0.04539969834087482,0.04500085970674206,0.044737023369392205,말단역,Terminal,37.11289,129.03696,Cheoram
익산,0.019230769230769232,0.0,0.0010569427929713303,0.00046233419453358467,0.0,0.0,0.0040575424047481125,말단역,Terminal,35.94164,126.9458,Iksan
적량,0.038461538461538464,0.038461538461538464,0.0012928087513207783,0.004509952717432828,0.038461538461538464,0.038461538461538464,0.031027792519494925,말단역,Terminal,34.85556,127.70611,Jeokryang
인천,0.038461538461538464,0.0,0.0015080944067098602,0.05105401510759623,0.00980392156862745,0.0013252992608196225,0.0109351030442379,말단역,Terminal,37.47603,126.62662,Incheon
흑석리,0.019230769230769232,0.0,0.0015489005784547932,0.02423390744594715,0.0,0.0,0.004155933961844805,말단역,Terminal,36.25524,127.33913,Heukseokri
경주,0.019230769230769232,0.0,0.0012138500288289382,0.0075207933907999345,0.0,0.0,0.004088923851919634,말단역,Terminal,35.79833,129.13889,Gyeongju
