node,seed,centrality,cascade_impact
JecheonYard,42,0.327,1.0
BusanNewPort,42,0.173,0.2830188679245283
Donghae,42,0.192,1.0
Obong,42,0.231,0.22641509433962265
Goedong,42,0.173,1.0
Yeongju,42,0.096,0.018867924528301886
Dongsan,42,0.058,0.11320754716981132
ShingwangyangPort,42,0.077,0.1509433962264151
Dodam,42,0.154,0.018867924528301886
Busanjin,42,0.096,0.3018867924528302
Cheoram,42,0.096,0.03773584905660377
Hwangdeung,42,0.058,0.16981132075471697
Sapgyo,42,0.038,0.2830188679245283
Ssangryong,42,0.058,0.018867924528301886
Gwangyang,42,0.058,0.05660377358490566
Suncheon,42,0.038,0.03773584905660377
DaejeonYard,42,0.077,0.018867924528301886
Uiwang,42,0.077,0.18867924528301888
Cheongju,42,0.038,0.1320754716981132
Onsan,42,0.077,0.03773584905660377
Heungguksa,42,0.038,0.018867924528301886
Okgye,42,0.038,0.018867924528301886
Taegum,42,0.077,0.018867924528301886
Deokso,42,0.058,0.018867924528301886
Gunsan,42,0.038,0.11320754716981132
Gacheon,42,0.038,0.018867924528301886
Incheon,42,0.038,0.018867924528301886
Masan,42,0.019,0.018867924528301886
Yakmok,42,0.038,0.16981132075471697
Ipseokri,42,0.115,0.05660377358490566
Naju,42,0.019,0.05660377358490566
Jeokryang,42,0.038,0.018867924528301886
Ganchi,42,0.038,0.03773584905660377
Paldang,42,0.019,0.018867924528301886
Doan,42,0.019,0.018867924528301886
Mokpo,42,0.019,0.018867924528301886
Eumseong,42,0.019,0.018867924528301886
Munsu,42,0.019,0.018867924528301886
BugangCargo,42,0.038,0.03773584905660377
Seokhang,42,0.019,0.018867924528301886
Shindong,42,0.019,0.018867924528301886
Gaya,42,0.019,0.018867924528301886
Jecheon,42,0.019,0.018867924528301886
Gyeongju,42,0.019,0.03773584905660377
Heukseokri,42,0.019,0.018867924528301886
Seokpo,42,0.019,0.05660377358490566
Sillyewon,42,0.019,0.018867924528301886
Taehwagang,42,0.019,0.018867924528301886
Iksan,42,0.019,0.03773584905660377
Mureung,42,0.019,0.018867924528301886
Susaek,42,0.077,0.018867924528301886
Gwangwoondae,42,0.058,0.018867924528301886
Cheonan,42,0.038,0.018867924528301886
JecheonYard,137,0.327,1.0
BusanNewPort,137,0.173,0.37735849056603776
Donghae,137,0.192,0.18867924528301888
Obong,137,0.231,0.3018867924528302
Goedong,137,0.173,0.4528301886792453
Yeongju,137,0.096,0.11320754716981132
Dongsan,137,0.058,0.5283018867924528
ShingwangyangPort,137,0.077,0.16981132075471697
Dodam,137,0.154,0.1320754716981132
Busanjin,137,0.096,0.018867924528301886
Cheoram,137,0.096,0.07547169811320754
Hwangdeung,137,0.058,0.018867924528301886
Sapgyo,137,0.038,0.16981132075471697
Ssangryong,137,0.058,0.05660377358490566
Gwangyang,137,0.058,0.07547169811320754
Suncheon,137,0.038,0.03773584905660377
DaejeonYard,137,0.077,0.018867924528301886
Uiwang,137,0.077,0.018867924528301886
Cheongju,137,0.038,0.018867924528301886
Onsan,137,0.077,0.03773584905660377
Heungguksa,137,0.038,0.03773584905660377
Okgye,137,0.038,0.018867924528301886
Taegum,137,0.077,0.018867924528301886
Deokso,137,0.058,0.03773584905660377
Gunsan,137,0.038,0.1320754716981132
Gacheon,137,0.038,0.018867924528301886
Incheon,137,0.038,0.018867924528301886
Masan,137,0.019,0.018867924528301886
Yakmok,137,0.038,0.03773584905660377
Ipseokri,137,0.115,0.018867924528301886
Naju,137,0.019,0.018867924528301886
Jeokryang,137,0.038,0.1509433962264151
Ganchi,137,0.038,0.018867924528301886
Paldang,137,0.019,0.1320754716981132
Doan,137,0.019,0.018867924528301886
Mokpo,137,0.019,0.018867924528301886
Eumseong,137,0.019,0.018867924528301886
Munsu,137,0.019,0.018867924528301886
BugangCargo,137,0.038,0.018867924528301886
Seokhang,137,0.019,0.03773584905660377
Shindong,137,0.019,0.018867924528301886
Gaya,137,0.019,0.018867924528301886
Jecheon,137,0.019,0.018867924528301886
Gyeongju,137,0.019,0.018867924528301886
Heukseokri,137,0.019,0.05660377358490566
Seokpo,137,0.019,0.018867924528301886
Sillyewon,137,0.019,0.018867924528301886
Taehwagang,137,0.019,0.018867924528301886
Iksan,137,0.019,0.018867924528301886
Mureung,137,0.019,0.018867924528301886
Susaek,137,0.077,0.05660377358490566
Gwangwoondae,137,0.058,0.018867924528301886
Cheonan,137,0.038,0.03773584905660377
JecheonYard,256,0.327,1.0
BusanNewPort,256,0.173,1.0
Donghae,256,0.192,0.32075471698113206
Obong,256,0.231,0.24528301886792453
Goedong,256,0.173,0.20754716981132076
Yeongju,256,0.096,0.07547169811320754
Dongsan,256,0.058,1.0
ShingwangyangPort,256,0.077,0.07547169811320754
Dodam,256,0.154,0.09433962264150944
Busanjin,256,0.096,0.05660377358490566
Cheoram,256,0.096,0.05660377358490566
Hwangdeung,256,0.058,0.33962264150943394
Sapgyo,256,0.038,1.0
Ssangryong,256,0.058,0.11320754716981132
Gwangyang,256,0.058,0.018867924528301886
Suncheon,256,0.038,0.03773584905660377
DaejeonYard,256,0.077,0.018867924528301886
Uiwang,256,0.077,0.018867924528301886
Cheongju,256,0.038,0.018867924528301886
Onsan,256,0.077,0.03773584905660377
Heungguksa,256,0.038,0.05660377358490566
Okgye,256,0.038,0.018867924528301886
Taegum,256,0.077,0.07547169811320754
Deokso,256,0.058,0.03773584905660377
Gunsan,256,0.038,0.05660377358490566
Gacheon,256,0.038,0.018867924528301886
Incheon,256,0.038,0.03773584905660377
Masan,256,0.019,0.018867924528301886
Yakmok,256,0.038,0.018867924528301886
Ipseokri,256,0.115,0.05660377358490566
Naju,256,0.019,0.018867924528301886
Jeokryang,256,0.038,0.03773584905660377
Ganchi,256,0.038,0.05660377358490566
Paldang,256,0.019,0.018867924528301886
Doan,256,0.019,0.018867924528301886
Mokpo,256,0.019,0.018867924528301886
Eumseong,256,0.019,0.018867924528301886
Munsu,256,0.019,0.018867924528301886
BugangCargo,256,0.038,0.018867924528301886
Seokhang,256,0.019,0.018867924528301886
Shindong,256,0.019,0.018867924528301886
Gaya,256,0.019,0.018867924528301886
Jecheon,256,0.019,0.03773584905660377
Gyeongju,256,0.019,0.05660377358490566
Heukseokri,256,0.019,0.018867924528301886
Seokpo,256,0.019,0.05660377358490566
Sillyewon,256,0.019,0.03773584905660377
Taehwagang,256,0.019,0.05660377358490566
Iksan,256,0.019,0.018867924528301886
Mureung,256,0.019,0.03773584905660377
Susaek,256,0.077,0.018867924528301886
Gwangwoondae,256,0.058,0.03773584905660377
Cheonan,256,0.038,0.018867924528301886
JecheonYard,512,0.327,1.0
BusanNewPort,512,0.173,1.0
Donghae,512,0.192,0.1509433962264151
Obong,512,0.231,0.33962264150943394
Goedong,512,0.173,0.22641509433962265
Yeongju,512,0.096,0.11320754716981132
Dongsan,512,0.058,0.1509433962264151
ShingwangyangPort,512,0.077,0.1509433962264151
Dodam,512,0.154,0.09433962264150944
Busanjin,512,0.096,0.11320754716981132
Cheoram,512,0.096,0.07547169811320754
Hwangdeung,512,0.058,0.018867924528301886
Sapgyo,512,0.038,0.11320754716981132
Ssangryong,512,0.058,0.03773584905660377
Gwangyang,512,0.058,0.03773584905660377
Suncheon,512,0.038,0.03773584905660377
DaejeonYard,512,0.077,0.03773584905660377
Uiwang,512,0.077,0.018867924528301886
Cheongju,512,0.038,0.05660377358490566
Onsan,512,0.077,0.018867924528301886
Heungguksa,512,0.038,0.03773584905660377
Okgye,512,0.038,0.018867924528301886
Taegum,512,0.077,0.018867924528301886
Deokso,512,0.058,0.1509433962264151
Gunsan,512,0.038,0.05660377358490566
Gacheon,512,0.038,0.018867924528301886
Incheon,512,0.038,0.018867924528301886
Masan,512,0.019,0.018867924528301886
Yakmok,512,0.038,0.03773584905660377
Ipseokri,512,0.115,0.03773584905660377
Naju,512,0.019,0.018867924528301886
Jeokryang,512,0.038,0.22641509433962265
Ganchi,512,0.038,0.018867924528301886
Paldang,512,0.019,0.018867924528301886
Doan,512,0.019,0.018867924528301886
Mokpo,512,0.019,0.018867924528301886
Eumseong,512,0.019,0.018867924528301886
Munsu,512,0.019,0.05660377358490566
BugangCargo,512,0.038,0.018867924528301886
Seokhang,512,0.019,0.018867924528301886
Shindong,512,0.019,0.03773584905660377
Gaya,512,0.019,0.018867924528301886
Jecheon,512,0.019,0.018867924528301886
Gyeongju,512,0.019,0.018867924528301886
Heukseokri,512,0.019,0.018867924528301886
Seokpo,512,0.019,0.018867924528301886
Sillyewon,512,0.019,0.018867924528301886
Taehwagang,512,0.019,0.07547169811320754
Iksan,512,0.019,0.03773584905660377
Mureung,512,0.019,0.018867924528301886
Susaek,512,0.077,0.018867924528301886
Gwangwoondae,512,0.058,0.018867924528301886
Cheonan,512,0.038,0.018867924528301886
JecheonYard,1024,0.327,1.0
BusanNewPort,1024,0.173,0.37735849056603776
Donghae,1024,0.192,0.2830188679245283
Obong,1024,0.231,0.11320754716981132
Goedong,1024,0.173,0.24528301886792453
Yeongju,1024,0.096,0.22641509433962265
Dongsan,1024,0.058,0.09433962264150944
ShingwangyangPort,1024,0.077,0.20754716981132076
Dodam,1024,0.154,0.09433962264150944
Busanjin,1024,0.096,0.018867924528301886
Cheoram,1024,0.096,0.07547169811320754
Hwangdeung,1024,0.058,0.05660377358490566
Sapgyo,1024,0.038,0.018867924528301886
Ssangryong,1024,0.058,0.03773584905660377
Gwangyang,1024,0.058,0.03773584905660377
Suncheon,1024,0.038,0.07547169811320754
DaejeonYard,1024,0.077,0.018867924528301886
Uiwang,1024,0.077,0.03773584905660377
Cheongju,1024,0.038,0.1509433962264151
Onsan,1024,0.077,0.03773584905660377
Heungguksa,1024,0.038,0.018867924528301886
Okgye,1024,0.038,0.018867924528301886
Taegum,1024,0.077,0.05660377358490566
Deokso,1024,0.058,0.07547169811320754
Gunsan,1024,0.038,0.1509433962264151
Gacheon,1024,0.038,0.018867924528301886
Incheon,1024,0.038,0.018867924528301886
Masan,1024,0.019,0.05660377358490566
Yakmok,1024,0.038,0.018867924528301886
Ipseokri,1024,0.115,0.03773584905660377
Naju,1024,0.019,0.018867924528301886
Jeokryang,1024,0.038,0.1509433962264151
Ganchi,1024,0.038,0.03773584905660377
Paldang,1024,0.019,0.018867924528301886
Doan,1024,0.019,0.018867924528301886
Mokpo,1024,0.019,0.018867924528301886
Eumseong,1024,0.019,0.018867924528301886
Munsu,1024,0.019,0.018867924528301886
BugangCargo,1024,0.038,0.018867924528301886
Seokhang,1024,0.019,0.018867924528301886
Shindong,1024,0.019,0.03773584905660377
Gaya,1024,0.019,0.018867924528301886
Jecheon,1024,0.019,0.018867924528301886
Gyeongju,1024,0.019,0.018867924528301886
Heukseokri,1024,0.019,0.018867924528301886
Seokpo,1024,0.019,0.03773584905660377
Sillyewon,1024,0.019,0.018867924528301886
Taehwagang,1024,0.019,0.018867924528301886
Iksan,1024,0.019,0.018867924528301886
Mureung,1024,0.019,0.018867924528301886
Susaek,1024,0.077,0.018867924528301886
Gwangwoondae,1024,0.058,0.018867924528301886
Cheonan,1024,0.038,0.018867924528301886
JecheonYard,2048,0.327,1.0
BusanNewPort,2048,0.173,1.0
Donghae,2048,0.192,0.33962264150943394
Obong,2048,0.231,1.0
Goedong,2048,0.173,0.24528301886792453
Yeongju,2048,0.096,0.07547169811320754
Dongsan,2048,0.058,0.18867924528301888
