node,seed,centrality,cascade_impact
JecheonYard,42,0.33082814617398854,1.0
BusanNewPort,42,0.25930597732314165,0.2830188679245283
Donghae,42,0.3797198262524516,1.0
Obong,42,0.33030168874075017,0.22641509433962265
Goedong,42,0.28725508903150027,1.0
Yeongju,42,0.1750044441734304,0.018867924528301886
Dongsan,42,0.1450343665471531,0.11320754716981132
ShingwangyangPort,42,0.18808038619741402,0.1509433962264151
Dodam,42,0.26376594981833856,0.018867924528301886
Busanjin,42,0.17620493419662,0.3018867924528302
Cheoram,42,0.19473116356492728,0.03773584905660377
Hwangdeung,42,0.057985668596814005,0.16981132075471697
Sapgyo,42,0.035350514702691585,0.2830188679245283
Ssangryong,42,0.1734461602816628,0.018867924528301886
Gwangyang,42,0.08678717671517008,0.05660377358490566
Suncheon,42,0.07793460907999498,0.03773584905660377
DaejeonYard,42,0.11202366952127185,0.018867924528301886
Uiwang,42,0.16157685911208913,0.18867924528301888
Cheongju,42,0.006796414311122843,0.1320754716981132
Onsan,42,0.12438293250302936,0.03773584905660377
Heungguksa,42,0.07117776091103217,0.018867924528301886
Okgye,42,0.04044435343716669,0.018867924528301886
Taegum,42,0.08202498872158892,0.018867924528301886
Deokso,42,0.14161273167930624,0.018867924528301886
Gunsan,42,0.028591323551328394,0.11320754716981132
Gacheon,42,0.09846516682010757,0.018867924528301886
Incheon,42,0.044063116838254736,0.018867924528301886
Masan,42,0.026761125890299636,0.018867924528301886
Yakmok,42,0.026403761559849387,0.16981132075471697
Ipseokri,42,0.08227470067346605,0.05660377358490566
Naju,42,0.017702096719768516,0.05660377358490566
Jeokryang,42,0.10883066278685179,0.018867924528301886
Ganchi,42,0.001533390884936913,0.03773584905660377
Paldang,42,0.07106430758531396,0.018867924528301886
Doan,42,0.0014623857147760184,0.018867924528301886
Mokpo,42,0.05579106372570215,0.018867924528301886
Eumseong,42,0.04189751378319652,0.018867924528301886
Munsu,42,0.05579106372570215,0.018867924528301886
BugangCargo,42,0.07463241106858237,0.03773584905660377
Seokhang,42,0.01867223958709982,0.018867924528301886
Shindong,42,0.05579106372570215,0.018867924528301886
Gaya,42,0.07106430758531396,0.018867924528301886
Jecheon,42,0.0816974333609761,0.018867924528301886
Gyeongju,42,0.0160571027061602,0.03773584905660377
Heukseokri,42,0.07117776091103217,0.018867924528301886
Seokpo,42,0.017702096719768516,0.05660377358490566
Sillyewon,42,0.05579106372570215,0.018867924528301886
Taehwagang,42,0.07117776091103217,0.018867924528301886
Iksan,42,0.0003299565056040609,0.03773584905660377
Mureung,42,0.012476053183129929,0.018867924528301886
Susaek,42,0.10903165986748929,0.018867924528301886
Gwangwoondae,42,0.12094063895773045,0.018867924528301886
Cheonan,42,0.13748849708667824,0.018867924528301886
JecheonYard,137,0.4785586003385279,1.0
BusanNewPort,137,0.3086717889183766,0.37735849056603776
Donghae,137,0.28675898890038604,0.18867924528301888
Obong,137,0.201944487975107,0.3018867924528302
Goedong,137,0.21094175189117714,0.4528301886792453
Yeongju,137,0.08687819448632504,0.11320754716981132
Dongsan,137,0.06871701136639329,0.5283018867924528
ShingwangyangPort,137,0.12754719038943238,0.16981132075471697
Dodam,137,0.22133694601825135,0.1320754716981132
Busanjin,137,0.15360079587197903,0.018867924528301886
Cheoram,137,0.23452739757074595,0.07547169811320754
Hwangdeung,137,0.10921787984659827,0.018867924528301886
Sapgyo,137,0.11735520438810104,0.16981132075471697
Ssangryong,137,0.062315146660502,0.05660377358490566
Gwangyang,137,0.1716897960520531,0.07547169811320754
Suncheon,137,0.11249693651674747,0.03773584905660377
DaejeonYard,137,0.1950772082491503,0.018867924528301886
Uiwang,137,0.12743273134829144,0.018867924528301886
Cheongju,137,0.14614162831660651,0.018867924528301886
Onsan,137,0.14777905857627635,0.03773584905660377
Heungguksa,137,0.04055736732903134,0.03773584905660377
Okgye,137,0.04084848166183619,0.018867924528301886
Taegum,137,0.2002500083388921,0.018867924528301886
Deokso,137,0.06332972528672333,0.03773584905660377
Gunsan,137,0.08052349092989752,0.1320754716981132
Gacheon,137,0.09239466396777064,0.018867924528301886
Incheon,137,0.05659339763421689,0.018867924528301886
Masan,137,0.037490116905559076,0.018867924528301886
Yakmok,137,0.0030911409126906557,0.03773584905660377
Ipseokri,137,0.23378077908543815,0.018867924528301886
Naju,137,0.011568268292819883,0.018867924528301886
Jeokryang,137,0.016076715662396424,0.1509433962264151
Ganchi,137,0.08448920811238694,0.018867924528301886
Paldang,137,0.002874248515509248,0.1320754716981132
Doan,137,0.0029845969197582175,0.018867924528301886
Mokpo,137,0.007529163615420572,0.018867924528301886
Eumseong,137,0.08883999764557253,0.018867924528301886
Munsu,137,0.02367797042886206,0.018867924528301886
BugangCargo,137,0.018089778877973618,0.018867924528301886
Seokhang,137,0.015482353124096158,0.03773584905660377
Shindong,137,0.0005738742414070574,0.018867924528301886
Gaya,137,0.053235032877939785,0.018867924528301886
Jecheon,137,0.057301630671033985,0.018867924528301886
Gyeongju,137,0.027433864389375336,0.018867924528301886
Heukseokri,137,0.004911927915542751,0.05660377358490566
Seokpo,137,0.01612855862289641,0.018867924528301886
Sillyewon,137,0.011756940761318457,0.018867924528301886
Taehwagang,137,0.041089599027502074,0.018867924528301886
Iksan,137,0.053235032877939785,0.018867924528301886
Mureung,137,0.01612855862289641,0.018867924528301886
Susaek,137,0.1376234963617326,0.05660377358490566
Gwangwoondae,137,0.11316488402412582,0.018867924528301886
Cheonan,137,0.026459984750159555,0.03773584905660377
JecheonYard,256,0.4344360403314363,1.0
BusanNewPort,256,0.265239482503685,1.0
Donghae,256,0.2963240869879543,0.32075471698113206
Obong,256,0.23248301584496195,0.24528301886792453
Goedong,256,0.2313678413307468,0.20754716981132076
Yeongju,256,0.2450181138752054,0.07547169811320754
Dongsan,256,0.04965461066740921,1.0
ShingwangyangPort,256,0.05265584328061018,0.07547169811320754
Dodam,256,0.281814399814539,0.09433962264150944
Busanjin,256,0.24015186742294448,0.05660377358490566
Cheoram,256,0.2352436322495231,0.05660377358490566
Hwangdeung,256,0.06035654677133978,0.33962264150943394
Sapgyo,256,0.037519408495956655,1.0
Ssangryong,256,0.11503824391524672,0.11320754716981132
Gwangyang,256,0.1373784215406797,0.018867924528301886
Suncheon,256,0.07006374215253584,0.03773584905660377
DaejeonYard,256,0.1452373965480938,0.018867924528301886
Uiwang,256,0.12214944928276433,0.018867924528301886
Cheongju,256,0.09193102124029637,0.018867924528301886
Onsan,256,0.17084654353763093,0.03773584905660377
Heungguksa,256,0.018518513275937544,0.05660377358490566
Okgye,256,0.13465884907427644,0.018867924528301886
Taegum,256,0.11600857468979146,0.07547169811320754
Deokso,256,0.07573461990390622,0.03773584905660377
Gunsan,256,0.04804038332826611,0.05660377358490566
Gacheon,256,0.11129503538696997,0.018867924528301886
Incheon,256,0.048528895280045364,0.03773584905660377
Masan,256,0.04607614610755053,0.018867924528301886
Yakmok,256,0.019398082939075342,0.018867924528301886
Ipseokri,256,0.16125866518784282,0.05660377358490566
Naju,256,0.08609960542571908,0.018867924528301886
Jeokryang,256,0.047960064668717585,0.03773584905660377
Ganchi,256,0.08976971321770218,0.05660377358490566
Paldang,256,0.052567416603131446,0.018867924528301886
Doan,256,0.05872761878383853,0.018867924528301886
Mokpo,256,0.003670107791983105,0.018867924528301886
Eumseong,256,0.01043586423211878,0.018867924528301886
Munsu,256,0.04585487513274583,0.018867924528301886
BugangCargo,256,0.1011094848412195,0.018867924528301886
Seokhang,256,0.009505357686511243,0.018867924528301886
Shindong,256,0.03386002111836027,0.018867924528301886
Gaya,256,0.05585168179760165,0.018867924528301886
Jecheon,256,0.009617922539540592,0.03773584905660377
Gyeongju,256,0.031960060625682754,0.05660377358490566
Heukseokri,256,0.05585168179760165,0.018867924528301886
Seokpo,256,0.031960060625682754,0.05660377358490566
Sillyewon,256,0.01626435697096541,0.03773584905660377
Taehwagang,256,0.0019642372207155753,0.05660377358490566
Iksan,256,0.04607614610755053,0.018867924528301886
Mureung,256,0.009910588157341577,0.03773584905660377
Susaek,256,0.1699147564249094,0.018867924528301886
Gwangwoondae,256,0.08206638372964685,0.03773584905660377
Cheonan,256,0.0688462380787349,0.018867924528301886
JecheonYard,512,0.4436856976431417,1.0
BusanNewPort,512,0.2964048353005042,1.0
Donghae,512,0.35448070750006444,0.1509433962264151
Obong,512,0.32431336955760875,0.33962264150943394
Goedong,512,0.29615887874383834,0.22641509433962265
Yeongju,512,0.08575423404792998,0.11320754716981132
Dongsan,512,0.16679844143484804,0.1509433962264151
ShingwangyangPort,512,0.19222903524004378,0.1509433962264151
Dodam,512,0.14105896090496028,0.09433962264150944
Busanjin,512,0.24441369681646394,0.11320754716981132
Cheoram,512,0.04918401004133601,0.07547169811320754
Hwangdeung,512,0.19733433109353526,0.018867924528301886
Sapgyo,512,0.002980915405141905,0.11320754716981132
Ssangryong,512,0.07435573081455428,0.03773584905660377
Gwangyang,512,0.06043399432450986,0.03773584905660377
Suncheon,512,0.06605413246033581,0.03773584905660377
