node,centrality,cascade_impact
Uiwang,0.04617849470790647,0.05660377358490566
Gacheon,0.0023930318047965106,0.018867924528301886
JecheonYard,0.3703785279577135,1.0
Gwangyang,0.038838612368024134,0.03773584905660377
Cheonan,0.03695324283559578,0.018867924528301886
Gwangwoondae,0.004447149130407049,0.018867924528301886
Dodam,0.06779934494866625,0.1509433962264151
Ipseokri,0.023942397471809238,0.07547169811320754
Goedong,0.1547117538067764,0.33962264150943394
Suncheon,0.015560583207642031,0.018867924528301886
Obong,0.33633672762632033,1.0
Gunsan,0.002513826043237808,0.018867924528301886
Taegum,0.033535092358621774,0.03773584905660377
Heungguksa,0.038461538461538464,0.03773584905660377
DaejeonYard,0.008487289482764594,0.018867924528301886
Donghae,0.22766739293888608,0.22641509433962265
Deokso,0.004447149130407049,0.018867924528301886
Susaek,0.019591029885147535,0.018867924528301886
Dongsan,0.08498348057171587,0.05660377358490566
ShingwangyangPort,0.05843209078503197,0.05660377358490566
BusanNewPort,0.29548409107232637,0.32075471698113206
Busanjin,0.06646915176326941,0.07547169811320754
Yeongju,0.059285159285159296,0.05660377358490566
Hwangdeung,0.048522229404582354,0.03773584905660377
BugangCargo,0.0035444947209653096,0.018867924528301886
Sapgyo,0.03695324283559578,0.018867924528301886
Yakmok,0.0035444947209653096,0.018867924528301886
Ssangryong,0.043534080298786186,0.05660377358490566
Cheongju,0.009888477535536361,0.018867924528301886
Onsan,0.014215196568137746,0.018867924528301886
Cheoram,0.04426619132501485,0.07547169811320754
Jeokryang,0.038461538461538464,0.03773584905660377
Incheon,0.001500196635943242,0.018867924528301886
