node,centrality,cascade_impact
Gaya,0.24644549763033174,0.018867924528301886
Uiwang,0.325,0.05660377358490566
Gacheon,0.33548387096774196,0.018867924528301886
JecheonYard,0.48148148148148145,1.0
Ganchi,0.3333333333333333,0.018867924528301886
Gwangyang,0.23853211009174313,0.03773584905660377
Sillyewon,0.19330855018587362,0.018867924528301886
Cheonan,0.30409356725146197,0.018867924528301886
Gwangwoondae,0.33986928104575165,0.018867924528301886
Dodam,0.3851851851851852,0.1509433962264151
Ipseokri,0.37142857142857144,0.07547169811320754
Goedong,0.43333333333333335,0.33962264150943394
Suncheon,0.3586206896551724,0.018867924528301886
Obong,0.5,1.0
Jecheon,0.30409356725146197,0.018867924528301886
Gunsan,0.2857142857142857,0.018867924528301886
Taegum,0.36363636363636365,0.03773584905660377
Naju,0.23214285714285715,0.018867924528301886
Heungguksa,0.30057803468208094,0.03773584905660377
DaejeonYard,0.38235294117647056,0.018867924528301886
Donghae,0.46846846846846846,0.22641509433962265
Deokso,0.33986928104575165,0.018867924528301886
Mureung,0.27956989247311825,0.018867924528301886
Susaek,0.3880597014925373,0.018867924528301886
Doan,0.32098765432098764,0.018867924528301886
Dongsan,0.35374149659863946,0.05660377358490566
ShingwangyangPort,0.36363636363636365,0.05660377358490566
BusanNewPort,0.41935483870967744,0.32075471698113206
Busanjin,0.37142857142857144,0.07547169811320754
Seokpo,0.32098765432098764,0.018867924528301886
Eumseong,0.32098765432098764,0.018867924528301886
Masan,0.2810810810810811,0.018867924528301886
Yeongju,0.3880597014925373,0.05660377358490566
Mokpo,0.24299065420560748,0.018867924528301886
Hwangdeung,0.31901840490797545,0.03773584905660377
Munsu,0.27225130890052357,0.018867924528301886
BugangCargo,0.30409356725146197,0.018867924528301886
Sapgyo,0.30409356725146197,0.018867924528301886
Yakmok,0.30409356725146197,0.018867924528301886
Seokhang,0.30409356725146197,0.018867924528301886
Shindong,0.3270440251572327,0.018867924528301886
Ssangryong,0.3443708609271523,0.05660377358490566
Cheongju,0.33548387096774196,0.018867924528301886
Paldang,0.25742574257425743,0.018867924528301886
Okgye,0.38235294117647056,0.018867924528301886
Taehwagang,0.33548387096774196,0.018867924528301886
Onsan,0.31901840490797545,0.018867924528301886
Cheoram,0.3466666666666667,0.07547169811320754
Iksan,0.21052631578947367,0.018867924528301886
Jeokryang,0.2653061224489796,0.03773584905660377
Incheon,0.33121019108280253,0.018867924528301886
Heukseokri,0.3270440251572327,0.018867924528301886
Gyeongju,0.25870646766169153,0.018867924528301886
