node,centrality,cascade_impact
Gaya,0.019230769230769232,0.018867924528301886
Uiwang,0.07692307692307693,0.05660377358490566
Gacheon,0.038461538461538464,0.018867924528301886
JecheonYard,0.3269230769230769,1.0
Ganchi,0.038461538461538464,0.018867924528301886
Gwangyang,0.057692307692307696,0.03773584905660377
Sillyewon,0.019230769230769232,0.018867924528301886
Cheonan,0.038461538461538464,0.018867924528301886
Gwangwoondae,0.057692307692307696,0.018867924528301886
Dodam,0.15384615384615385,0.1509433962264151
Ipseokri,0.11538461538461539,0.07547169811320754
Goedong,0.17307692307692307,0.33962264150943394
Suncheon,0.038461538461538464,0.018867924528301886
Obong,0.23076923076923078,1.0
Jecheon,0.019230769230769232,0.018867924528301886
Gunsan,0.038461538461538464,0.018867924528301886
Taegum,0.07692307692307693,0.03773584905660377
Naju,0.019230769230769232,0.018867924528301886
Heungguksa,0.038461538461538464,0.03773584905660377
DaejeonYard,0.07692307692307693,0.018867924528301886
Donghae,0.19230769230769232,0.22641509433962265
Deokso,0.057692307692307696,0.018867924528301886
Mureung,0.019230769230769232,0.018867924528301886
Susaek,0.07692307692307693,0.018867924528301886
Doan,0.019230769230769232,0.018867924528301886
Dongsan,0.057692307692307696,0.05660377358490566
ShingwangyangPort,0.07692307692307693,0.05660377358490566
BusanNewPort,0.17307692307692307,0.32075471698113206
Busanjin,0.09615384615384616,0.07547169811320754
Seokpo,0.019230769230769232,0.018867924528301886
Eumseong,0.019230769230769232,0.018867924528301886
Masan,0.019230769230769232,0.018867924528301886
Yeongju,0.09615384615384616,0.05660377358490566
Mokpo,0.019230769230769232,0.018867924528301886
Hwangdeung,0.057692307692307696,0.03773584905660377
Munsu,0.019230769230769232,0.018867924528301886
BugangCargo,0.038461538461538464,0.018867924528301886
Sapgyo,0.038461538461538464,0.018867924528301886
Yakmok,0.038461538461538464,0.018867924528301886
Seokhang,0.019230769230769232,0.018867924528301886
Shindong,0.019230769230769232,0.018867924528301886
Ssangryong,0.057692307692307696,0.05660377358490566
Cheongju,0.038461538461538464,0.018867924528301886
Paldang,0.019230769230769232,0.018867924528301886
Okgye,0.038461538461538464,0.018867924528301886
Taehwagang,0.019230769230769232,0.018867924528301886
Onsan,0.07692307692307693,0.018867924528301886
Cheoram,0.09615384615384616,0.07547169811320754
Iksan,0.019230769230769232,0.018867924528301886
Jeokryang,0.038461538461538464,0.03773584905660377
Incheon,0.038461538461538464,0.018867924528301886
Heukseokri,0.019230769230769232,0.018867924528301886
Gyeongju,0.019230769230769232,0.018867924528301886
