node,centrality,cascade_impact
Gaya,0.014091196132741617,0.018867924528301886
Uiwang,0.0851161533609975,0.05660377358490566
Gacheon,0.11631405355227781,0.018867924528301886
JecheonYard,0.4546095808535169,1.0
Ganchi,0.09828372586718966,0.018867924528301886
Gwangyang,0.00968682974091349,0.03773584905660377
Sillyewon,0.0016039045159566172,0.018867924528301886
Cheonan,0.028451697684654362,0.018867924528301886
Gwangwoondae,0.15107387011465775,0.018867924528301886
Dodam,0.247975275829278,0.1509433962264151
Ipseokri,0.20996306003422496,0.07547169811320754
Goedong,0.2762752316375087,0.33962264150943394
Suncheon,0.07258601806830169,0.018867924528301886
Obong,0.3785540468694565,1.0
Jecheon,0.04573822489960393,0.018867924528301886
Gunsan,0.0363811905971745,0.018867924528301886
Taegum,0.12852383630448297,0.03773584905660377
Naju,0.004570323967669377,0.018867924528301886
Heungguksa,0.02760451365656352,0.03773584905660377
DaejeonYard,0.2012553794197007,0.018867924528301886
Donghae,0.30311252669517924,0.22641509433962265
Deokso,0.15107387011465775,0.018867924528301886
Mureung,0.04105276266164734,0.018867924528301886
Susaek,0.18226303712147499,0.018867924528301886
Doan,0.050181509305042976,0.018867924528301886
Dongsan,0.09298514460498854,0.05660377358490566
ShingwangyangPort,0.09122964102995815,0.05660377358490566
BusanNewPort,0.1621646066833255,0.32075471698113206
Busanjin,0.13265053141805241,0.07547169811320754
Seokpo,0.050181509305042976,0.018867924528301886
Eumseong,0.050181509305042976,0.018867924528301886
Masan,0.02795516488657023,0.018867924528301886
Yeongju,0.16886069459701117,0.05660377358490566
Mokpo,0.007141318324209814,0.018867924528301886
Hwangdeung,0.0431337375598836,0.03773584905660377
Munsu,0.021961209243526056,0.018867924528301886
BugangCargo,0.0488090024122238,0.018867924528301886
Sapgyo,0.028451697684654362,0.018867924528301886
Yakmok,0.0488090024122238,0.018867924528301886
Seokhang,0.04573822489960393,0.018867924528301886
Shindong,0.07526129089063047,0.018867924528301886
Ssangryong,0.07948815909173557,0.05660377358490566
Cheongju,0.08842087470034678,0.018867924528301886
Paldang,0.013159583809716307,0.018867924528301886
Okgye,0.13793256613517088,0.018867924528301886
Taehwagang,0.0626712752445404,0.018867924528301886
Onsan,0.09524285023538451,0.018867924528301886
Cheoram,0.1390661610777282,0.07547169811320754
Iksan,0.0026202876147374595,0.018867924528301886
Jeokryang,0.015827697409722542,0.03773584905660377
Incheon,0.11002110745301041,0.018867924528301886
Heukseokri,0.07526129089063047,0.018867924528301886
Gyeongju,0.023022434976559168,0.018867924528301886
