alpha,specification,centrality_measure,n,spearman_rho,p_value
0.2,raw,Betweenness,33,0.845,0.0
0.2,demand_weighted,Betweenness,33,0.8221,0.0
0.2,raw,Degree,53,0.7269,0.0
0.2,demand_weighted,Degree,53,0.7874,0.0
0.2,raw,Closeness,53,0.4446,0.0009
0.2,demand_weighted,Closeness,53,0.5172,0.0001
0.2,raw,Eigenvector,53,0.3539,0.0093
0.2,demand_weighted,Eigenvector,53,0.427,0.0014
0.5,raw,Betweenness,33,0.8986,0.0
0.5,demand_weighted,Betweenness,33,0.8695,0.0
0.5,raw,Degree,53,0.7955,0.0
0.5,demand_weighted,Degree,53,0.83,0.0
0.5,raw,Closeness,53,0.5817,0.0
0.5,demand_weighted,Closeness,53,0.6335,0.0
0.5,raw,Eigenvector,53,0.5285,0.0
0.5,demand_weighted,Eigenvector,53,0.5545,0.0
0.8,raw,Betweenness,33,0.8931,0.0
0.8,demand_weighted,Betweenness,33,0.8579,0.0
0.8,raw,Degree,53,0.7919,0.0
0.8,demand_weighted,Degree,53,0.8257,0.0
0.8,raw,Closeness,53,0.5753,0.0
0.8,demand_weighted,Closeness,53,0.6317,0.0
0.8,raw,Eigenvector,53,0.5231,0.0001
0.8,demand_weighted,Eigenvector,53,0.5499,0.0
